Artículo,PVP,Vlr Unit,Cant Disp,Ref,EAN,Familia,Desc
Gaseosa Cola 2L,5500,4200,30,GAS-2L-001,7702004003300,Refrescos,Bebida gaseosa familiar
Agua Mineral 600ml,1800,1200,100,AGU-600-002,7702004003317,Refrescos,Agua sin gas
Jugo Naranja 1L,6200,4800,25,JUG-NAR-003,7702004003324,Refrescos,Jugo natural
Papas Fritas Grandes,3800,2900,45,PAP-GR-001,7702018956400,Mecato,Papas sabor natural
Chocoramo,2200,1600,60,CHO-001,7702018956417,Mecato,Ponqué de chocolate
Galletas Ducales,4500,3500,35,GAL-DUC-001,7702018956424,Mecato,Galletas saladas
Jabón Líquido 1L,12500,9800,15,JAB-LIQ-001,7702018600018,Limpieza,Jabón multiusos
Detergente 1kg,15800,12500,20,DET-1K-001,7702018600025,Limpieza,Detergente en polvo
Cloro 1L,4500,3200,40,CLO-1L-001,7702018600032,Limpieza,Blanqueador
Café Molido 500g,18500,14800,22,CAF-500-001,7702018700015,Cafetería,Café premium
Azúcar 1kg,4800,3800,55,AZU-1K-001,7702018700022,Cafetería,Azúcar blanca
Chocolate Mesa x6,8200,6500,30,CHO-MESA-001,7702018700039,Cafetería,Tabletas chocolate
Salchicha x10,9500,7200,28,SAL-10-001,7702018800012,Carnes Frías,Salchichas premium
Jamón Tajado 250g,11500,8900,18,JAM-250-001,7702018800029,Carnes Frías,Jamón de cerdo
Huevos AA x30,18000,15000,40,HUE-30-001,7702018900019,Huevos,Huevos frescos
Atún en Agua 170g,6800,5200,50,ATU-170-001,7702018950016,Enlatados,Atún light
Sardinas en Tomate,4500,3400,45,SAR-TOM-001,7702018950023,Enlatados,Sardinas
Salsa Tomate 400g,5200,4000,35,SAL-TOM-001,7702018960013,Salsas,Salsa de tomate
Mayonesa 400g,7800,6100,28,MAY-400-001,7702018960020,Salsas,Mayonesa clásica
Mostaza 250g,4200,3100,32,MOS-250-001,7702018960037,Salsas,Mostaza americana
